ip_id,prob1
6362,0.51746917
6363,0.5348957
6365,0.5348957
6366,0.51746917
6372,0.51746917
6373,0.5348957
6374,0.5348957
6375,0.5
6377,0.51746917
6380,0.51746917
6388,0.57573956
6389,0.51746917
6390,0.51746917
6392,0.51746917
6393,0.51746917
6395,0.51746917
6396,0.57573956
6397,0.5348957
6403,0.5664899
6404,0.5348957
6415,0.57573956
6421,0.5664899
6424,0.51746917
6426,0.51746917
6427,0.51746917
6428,0.57573956
6430,0.5348957
6434,0.5943316
6439,0.5348957
6443,0.5348957
6444,0.51746917
6445,0.57573956
6448,0.5348957
6453,0.51746917
6454,0.57573956
6457,0.5475932
6469,0.5664899
6485,0.5943316
6493,0.51746917
6498,0.5475932
6499,0.51746917
6503,0.5348957
6505,0.51746917
6511,0.5348957
6527,0.5348957
6532,0.5348957
6534,0.51746917
6537,0.5943316
6546,0.51746917
6548,0.5348957
6554,0.5348957
6557,0.51746917
6565,0.55432737
6567,0.5943316
6568,0.51746917
6574,0.57573956
6578,0.5348957
6581,0.5348957
6582,0.51746917
6583,0.57573956
6585,0.5664899
6587,0.51746917
6602,0.51746917
6603,0.5348957
6605,0.5348957
6606,0.5348957
6608,0.51746917
6609,0.5
6611,0.5348957
6612,0.5851952
6622,0.5348957
6629,0.5851952
6631,0.5348957
6637,0.5348957
6639,0.51746917
6641,0.57573956
6645,0.5348957
6646,0.57573956
6650,0.5348957
6651,0.5348957
6653,0.5348957
6658,0.51746917
6659,0.5348957
6663,0.5348957
6664,0.5348957
6666,0.51746917
6668,0.5475932
6669,0.5348957
6672,0.51746917
6681,0.57573956
6683,0.51746917
6686,0.5851952
6687,0.5348957
6690,0.57573956
6696,0.51746917
6706,0.5348957
6710,0.51746917
6711,0.5348957
6713,0.5348957
6719,0.5
6720,0.5475932
6722,0.57573956
6724,0.5348957
6727,0.57573956
6728,0.51746917
6730,0.5348957
6733,0.5348957
6734,0.51746917
6735,0.5348957
6736,0.51746917
6737,0.5348957
6740,0.51746917
6741,0.51746917
6744,0.5348957
6745,0.5348957
6750,0.5664899
6752,0.5348957
6755,0.51746917
6766,0.5348957
6772,0.51746917
6776,0.5348957
6790,0.57573956
6798,0.5348957
6799,0.51746917
6810,0.5348957
6811,0.51746917
6813,0.51746917
6823,0.51746917
6824,0.5475932
6827,0.51746917
6832,0.5348957
6837,0.5348957
6839,0.51746917
6843,0.51746917
6845,0.51746917
6847,0.5348957
6852,0.5348957
6860,0.51746917
6867,0.5348957
6873,0.97906965
6875,0.51746917
6881,0.5348957
6882,0.5348957
6889,0.5348957
6892,0.51746917
6894,0.51746917
6895,0.5348957
6896,0.57573956
6898,0.51746917
6901,0.5475932
6902,0.5348957
6904,0.51746917
6911,0.5943316
6914,0.51746917
6920,0.51746917
6928,0.51746917
6937,0.5348957
6941,0.5
6943,0.51746917
6945,0.5348957
6952,0.5475932
6956,0.51746917
6961,0.51746917
6965,0.51746917
6966,0.5348957
6968,0.51746917
6972,0.5348957
6974,0.5
6975,0.5348957
6982,0.51746917
6984,0.51746917
6989,0.51746917
6992,0.5348957
6994,0.57573956
6996,0.5348957
7001,0.51746917
7002,0.5348957
