ip_id,prob1
6362,0.06119879
6363,0.048152655
6365,0.048152655
6366,0.06119879
6372,0.06119879
6373,0.048152655
6374,0.048152655
6375,0.091014974
6377,0.06119879
6380,0.06119879
6388,0.06953307
6389,0.06119879
6390,0.06119879
6392,0.06119879
6393,0.06119879
6395,0.06119879
6396,0.06953307
6397,0.048152655
6403,0.17493726
6404,0.048152655
6415,0.06953307
6421,0.17493726
6424,0.06119879
6426,0.06119879
6427,0.06119879
6428,0.06953307
6430,0.048152655
6434,0.11564167
6439,0.048152655
6443,0.048152655
6444,0.06119879
6445,0.06953307
6448,0.048152655
6453,0.06119879
6454,0.06953307
6457,0.09723085
6469,0.17493726
6485,0.11564167
6493,0.06119879
6498,0.09723085
6499,0.06119879
6503,0.048152655
6505,0.06119879
6511,0.048152655
6527,0.048152655
6532,0.048152655
6534,0.06119879
6537,0.11564167
6546,0.06119879
6548,0.048152655
6554,0.048152655
6557,0.06119879
6565,0.3385531
6567,0.11564167
6568,0.06119879
6574,0.06953307
6578,0.048152655
6581,0.048152655
6582,0.06119879
6583,0.06953307
6585,0.17493726
6587,0.06119879
6602,0.06119879
6603,0.048152655
6605,0.048152655
6606,0.048152655
6608,0.06119879
6609,0.13319103
6611,0.048152655
6612,0.3218671
6622,0.048152655
6629,0.3218671
6631,0.048152655
6637,0.048152655
6639,0.06119879
6641,0.06953307
6645,0.048152655
6646,0.06953307
6650,0.048152655
6651,0.048152655
6653,0.048152655
6658,0.06119879
6659,0.048152655
6663,0.048152655
6664,0.048152655
6666,0.06119879
6668,0.09723085
6669,0.048152655
6672,0.06119879
6681,0.06953307
6683,0.06119879
6686,0.3218671
6687,0.048152655
6690,0.06953307
6696,0.06119879
6706,0.048152655
6710,0.06119879
6711,0.048152655
6713,0.048152655
6719,0.13319103
6720,0.09723085
6722,0.06953307
6724,0.048152655
6727,0.06953307
6728,0.06119879
6730,0.048152655
6733,0.048152655
6734,0.06119879
6735,0.048152655
6736,0.06119879
6737,0.048152655
6740,0.06119879
6741,0.06119879
6744,0.048152655
6745,0.048152655
6750,0.17493726
6752,0.048152655
6755,0.06119879
6766,0.048152655
6772,0.06119879
6776,0.048152655
6790,0.06953307
6798,0.048152655
6799,0.06119879
6810,0.048152655
6811,0.06119879
6813,0.06119879
6823,0.06119879
6824,0.09723085
6827,0.06119879
6832,0.048152655
6837,0.048152655
6839,0.06119879
6843,0.06119879
6845,0.06119879
6847,0.048152655
6852,0.048152655
6860,0.06119879
6867,0.048152655
6873,0.9752075
6875,0.06119879
6881,0.048152655
6882,0.048152655
6889,0.048152655
6892,0.06119879
6894,0.06119879
6895,0.048152655
6896,0.06953307
6898,0.06119879
6901,0.09723085
6902,0.048152655
6904,0.06119879
6911,0.11564167
6914,0.06119879
6920,0.06119879
6928,0.06119879
6937,0.048152655
6941,0.13319103
6943,0.06119879
6945,0.048152655
6952,0.09723085
6956,0.06119879
6961,0.06119879
6965,0.06119879
6966,0.048152655
6968,0.06119879
6972,0.048152655
6974,0.22405353
6975,0.048152655
6982,0.06119879
6984,0.06119879
6989,0.06119879
6992,0.048152655
6994,0.06953307
6996,0.048152655
7001,0.06119879
7002,0.048152655
7020,0.06119879
7023,0.09723085
7030,0.06119879
7031,0.06119879
7035,0.17493726
7037,0.09723085
7038,0.06119879
7040,0.06119879
7045,0.048152655
7050,0.06953307
7051,0.048152655
7053,0.06953307
7054,0.06119879
7057,0.048152655
7061,0.048152655
7063,0.048152655
7068,0.09723085
7069,0.9750699
7072,0.09723085
7077,0.048152655
7078,0.06119879
7079,0.048152655
