ip_id,Average_Debit,Average_Credit,Count_Debit,Count_Credit,Average_Ratio,Count_Ratio
1,4403.238095238095,5151.714285714285,21,21.0,1.1699831292987843,1.0
2,4415.0,6994.526315789473,22,19.0,1.5842641711867436,0.8636363636363636
3,4261.84,5186.64705882353,25,17.0,1.2169971324178124,0.68
4,2035.8333333333333,4173.8125,18,16.0,2.0501739664347114,0.8888888888888888
5,5165.4,5356.625,20,16.0,1.037020366283347,0.8
6,7173.2307692307695,6588.777777777777,13,27.0,0.9185230462736574,2.076923076923077
7,6883.173913043478,5256.272727272727,23,11.0,0.7636408426804667,0.4782608695652174
8,3656.0555555555557,5913.055555555556,18,18.0,1.617331975869562,1.0
9,5584.894736842105,5099.4375,19,16.0,0.9130767436600605,0.8421052631578947
10,4528.0,4884.107142857143,14,28.0,1.0786455704189803,2.0
11,4167.222222222223,6772.333333333333,27,27.0,1.6251433142247698,1.0
12,6210.25,4499.333333333333,20,15.0,0.7245011607154838,0.75
13,6846.470588235294,5509.652173913043,17,23.0,0.8047434226009257,1.3529411764705883
14,5243.545454545455,4462.933333333333,11,15.0,0.8511289492998607,1.3636363636363635
15,4144.625,5950.071428571428,16,28.0,1.4356115278394133,1.75
16,4192.866666666667,3883.3,15,20.0,0.9261682540187303,1.3333333333333333
17,3904.470588235294,7188.0,17,17.0,1.8409666144389538,1.0
18,5019.333333333333,5629.0,21,23.0,1.1214636737946606,1.0952380952380953
19,6556.733333333334,5037.545454545455,15,11.0,0.7683011033764966,0.7333333333333333
20,5504.782608695652,3600.375,23,24.0,0.6540449016665351,1.0434782608695652
21,6788.333333333333,4751.642857142857,12,14.0,0.6999719406544842,1.1666666666666667
22,5836.888888888889,5919.545454545455,18,22.0,1.014161065463129,1.2222222222222223
23,4323.941176470588,4372.0,17,19.0,1.011114587726339,1.1176470588235294
24,4837.923076923077,5682.631578947368,13,19.0,1.1746014743503377,1.4615384615384615
25,6093.722222222223,6554.25,18,20.0,1.0755741336712645,1.1111111111111112
26,4197.523809523809,5441.521739130435,21,23.0,1.2963647107335294,1.0952380952380953
27,5029.5,6361.103448275862,16,29.0,1.2647586138335545,1.8125
28,6079.8421052631575,5465.789473684211,19,19.0,0.899001878511388,1.0
29,5739.25,4917.411764705882,16,17.0,0.8568038967993871,1.0625
30,3506.1666666666665,4378.923076923077,18,26.0,1.248920400320315,1.4444444444444444
31,3583.3,6086.470588235294,20,17.0,1.6985657322120093,0.85
32,6363.25,5938.030303030303,20,33.0,0.9331757047154053,1.65
33,4596.684210526316,6183.533333333334,19,15.0,1.345216040547916,0.7894736842105263
34,6362.333333333333,4992.833333333333,21,12.0,0.7847487818934353,0.5714285714285714
35,4522.125,4396.8,16,15.0,0.9722862592254747,0.9375
36,3450.529411764706,6682.428571428572,17,14.0,1.936638635406088,0.8235294117647058
37,4533.761904761905,6094.5,21,14.0,1.3442479177388693,0.6666666666666666
38,5832.9375,4130.444444444444,16,18.0,0.7081242417640244,1.125
39,4446.809523809524,4898.764705882353,21,17.0,1.1016358311847918,0.8095238095238095
40,4707.272727272727,5124.52,22,25.0,1.0886388567014293,1.1363636363636365
41,6657.066666666667,6351.789473684211,15,19.0,0.9541423860885992,1.2666666666666666
42,4963.125,6902.0,24,20.0,1.390656088653822,0.8333333333333334
43,6025.235294117647,5615.071428571428,17,14.0,0.9319256683723778,0.8235294117647058
44,6122.458333333333,6501.666666666667,24,18.0,1.061937266484732,0.75
45,5109.882352941177,5346.136363636364,17,22.0,1.04623472604202,1.2941176470588236
46,6143.818181818182,5581.9473684210525,11,19.0,0.908546965947021,1.7272727272727273
47,5913.36,5082.277777777777,25,18.0,0.8594568532573321,0.72
48,5512.428571428572,5758.28,14,25.0,1.044599476507632,1.7857142857142858
49,5597.35294117647,5422.35294117647,17,17.0,0.968735221480742,1.0
50,5753.809523809524,4736.666666666667,21,18.0,0.8232227095919888,0.8571428571428571
51,7306.75,6608.1578947368425,20,19.0,0.9043908570481873,0.95
52,6492.166666666667,5437.523809523809,18,21.0,0.8375514814556736,1.1666666666666667
53,4589.210526315789,5399.7,19,20.0,1.1766076036469981,1.0526315789473684
54,4159.933333333333,5812.1578947368425,15,19.0,1.397175730717682,1.2666666666666666
55,5481.545454545455,4936.7037037037035,11,27.0,0.9006043541260881,2.4545454545454546
56,4348.933333333333,5748.166666666667,15,18.0,1.321741729772818,1.2
57,5502.192307692308,4837.941176470588,26,17.0,0.8792751881294539,0.6538461538461539
58,6084.823529411765,6294.761904761905,17,21.0,1.0345019661351518,1.2352941176470589
59,5079.6,5717.8,15,20.0,1.125639814158595,1.3333333333333333
60,5960.636363636364,6264.823529411765,22,17.0,1.0510326661816067,0.7727272727272727
61,4864.307692307692,5195.6,13,25.0,1.0681067746220507,1.9230769230769231
62,4352.684210526316,6486.227272727273,19,22.0,1.4901672069481406,1.1578947368421053
63,6887.272727272727,5128.590909090909,22,22.0,0.7446475712777191,1.0
64,5953.611111111111,4863.476190476191,18,21.0,0.8168951749971672,1.1666666666666667
65,4751.652173913043,6192.409090909091,23,22.0,1.303211780716173,0.9565217391304348
66,5654.066666666667,5845.823529411765,15,17.0,1.033914857048926,1.1333333333333333
67,5357.133333333333,6101.111111111111,15,18.0,1.138876098742694,1.2
68,4686.8421052631575,5565.8,19,25.0,1.187537338573835,1.3157894736842106
69,5947.35294117647,5785.05,17,20.0,0.9727100539043569,1.1764705882352942
70,5365.64705882353,5130.833333333333,17,24.0,0.9562375752791906,1.411764705882353
71,5205.772727272727,3431.5263157894738,22,19.0,0.6591771280778195,0.8636363636363636
72,3648.1875,6512.088235294118,16,34.0,1.7850201600915847,2.125
73,5833.588235294118,5939.578947368421,17,19.0,1.0181690424142456,1.1176470588235294
74,4914.473684210527,4761.294117647059,19,17.0,0.9688309315694148,0.8947368421052632
75,5505.791666666667,4777.533333333334,24,15.0,0.8677286796479465,0.625
76,5589.65,5493.0,20,18.0,0.9827091141663611,0.9
77,4268.434782608696,6063.1875,23,16.0,1.4204709240735836,0.6956521739130435
78,5115.913043478261,6644.0,23,18.0,1.2986929104414189,0.782608695652174
79,5016.038461538462,5138.565217391304,26,23.0,1.0244269968805746,0.8846153846153846
80,5054.5,4347.133333333333,18,15.0,0.8600520987898572,0.8333333333333334
81,5747.0952380952385,5496.12,21,25.0,0.9563300715061024,1.1904761904761905
82,5804.565217391304,4804.933333333333,23,15.0,0.8277852265208544,0.6521739130434783
83,4088.8888888888887,4856.347826086957,18,23.0,1.187693761814745,1.2777777777777777
84,4032.5238095238096,6050.954545454545,21,22.0,1.5005378346840033,1.0476190476190477
85,5252.526315789473,5851.05,19,20.0,1.1139496783502676,1.0526315789473684
86,4455.25,4593.136363636364,24,22.0,1.0309491866082405,0.9166666666666666
87,4331.588235294118,5649.833333333333,17,24.0,1.3043329666698351,1.411764705882353
88,4678.0,6467.7307692307695,19,26.0,1.3825846022297499,1.368421052631579
89,4485.823529411765,4898.294117647059,17,17.0,1.0919498026462449,1.0
90,3283.3571428571427,4491.464285714285,28,28.0,1.3679487458394064,1.0
91,6372.538461538462,3161.176470588235,13,17.0,0.4960623603400052,1.3076923076923077
92,6109.5,6546.0,14,13.0,1.0714461085195188,0.9285714285714286
93,6298.826086956522,6660.277777777777,23,18.0,1.0573839769238498,0.782608695652174
94,5833.304347826087,3622.086956521739,23,23.0,0.6209322779243623,1.0
95,5198.578947368421,6352.0,19,20.0,1.22187237402934,1.0526315789473684
